Title,Author,Price,Link,ISBN,Description,PublishedDate,ImgUrl,Categories,AvgRating,RatingsCount
El Sol y los planetas,Patricia Geis,23760,https://contrapunto.cl/formato-pop-up/8956-el-sol-y-los-planetas.html,9788491015048,"Un libro pop-up para los amantes del espacio con información actualizada en sorprendentes solapas sobre los cuerpos celestes para entender, de manera muy práctica y experimental, cómo funciona el sistema solar y cómo recibimos sus efectos en nuestra vida cotidiana en la Tierra.",2020-11,http://books.google.com/books/content?id=J2KQzQEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Nonfiction'],,
Espacio · Vida en la tierra,Heather Alexander,12420,https://contrapunto.cl/no-ficcion-informativo/2095-vida-en-la-tierra-espacio.html,9789562571784,,,,,,
Mujeres del alma mía,Isabel Allende,15300,https://contrapunto.cl/literatura-no-ficcion/6538-mujeresdelalmamia.html,9789562626118,,2020,,,,
"Muchos, muchos, muchísimos animales",Alexandra Garibal,18720,https://contrapunto.cl/no-ficcion-informativo/8199-muchos-nuchos-muchisimos-animales.html,9788414024386,"Son diminutos o colosales, muy peligrosos o originales, burbujean en el agua o vuelan por los aires...¡Más de 200 animales excepcionales!",2019-10,,['Juvenile Fiction'],,
Confianza. 50 ejercicios de mindfulness y relajación.,Dra. Arlene K. Unger,10620,https://contrapunto.cl/meditacion-y-mindfulness/2071-50-ejercicios-de-mindfulness-y-relajacion-confianza.html,9789562571487,,,,,,
Homo Deus: Breve historia del mañana,Yuval Noah Harari,18000,https://contrapunto.cl/literatura-no-ficcion/3010-homo-deus-a-history-of-tomorrow.html,9789569545368,,,,,,
Mi primer libro de la naturaleza,Camilla de la Bedoyere,15120,https://contrapunto.cl/ciencias-y-naturaleza/10892-mi-primer-libro-de-la-naturaleza.html,9789562572583,,,,,,
Mitológica,Steve Kershaw - Victor Topping,22320,https://contrapunto.cl/religion-y-mitologia/7884-mitologica.html,9789562572224,,,,,,
Poeta Chileno,Zambra Alejandro,19800,https://contrapunto.cl/literatura-ficcion/8790-poeta-chileno.html,9789566045298,"""Durante buena parte de esta novela Gonzalo es un poetastro que quiere ser poeta y un padrastro que se comporta como si fuera el padre biológico de Vicente, un niño adicto a la comida para gatos que años más tarde se niega a estudiar en la universidad porque su sueño principal es convertirse -también- en poeta, a pesar de los consejos de Carla, su orgullosamente solitaria madre, y de León, un padre mediocre dedicado a coleccionar autitos de juguete. El poderoso mito de la poesía chilena -un personaje secundario dice, aludiendo a los veredictos de la Academia Sueca, que los chilenos son bicampeones mundiales de poesía- es revisitado y cuestionado por Pru, una periodista gringa que se convierte en testigo accidental de ese esquivo e intenso mundo de héroes e impostores literarios. «La verdadera seriedad es cómica», decía Nicanor Parra, y esta novela sobre poetas que desprecian las novelas lo demuestra brillantemente. El laberinto masculino actual, los trágicos vaivenes del amor, las familias -o familiastras- fugaces, la omnipresente desconfianza en instituciones y autoridades, el deseo valiente y obcecado de pertenecer a una comunidad en parte imaginaria, el sentido de escribir y de leer en un mundo hostil que parece desmoronarse a toda velocidad... Son muchos los temas que este libro hermoso, contundente y desenfadado pone encima de la mesa. Autor de obras que se han vuelto emblemáticas, como Bonsái, Formas de volver a casa, Mis documentos o Facsímil, Alejandro Zambra regresa en grande a la novela con este libro que lo confirma como una de las voces fundamentales de la literatura latinoamericana en lo que va de siglo.""--Back cover.",2020,,['Chilean fiction'],,
El diseño como storytelling,Ellen Lupton,28620,https://contrapunto.cl/diseno/7978-el-diseno-como-storytelling.html,9788425231865,"El buen diseño, como el buen storytelling, da vida a las ideas. Pero ¿conocemos bien los profesionales del diseño los mecanismos narrativos que hacen que nuestros diseños estén vivos? ¿Es posible que ya estemos utilizando algunos de ellos sin saberlo? ¿Qué otras técnicas pueden proporcionarnos las herramientas del storytelling para que el resultado de nuestro trabajo apunte directamente al corazón de sus usuarios? Este libro es, precisamente, una guía de recursos y estrategias para aprender a aplicar las técnicas propias de la narración en la creación de gráficos, productos, servicios y experiencias. Al planificar el diseño de una aplicación digital o de una publicación rica en datos, los diseñadores están invitando al usuario a adentrarse y explorar un escenario. El diseño editorial, de branding o de atractivos e intrigantes espacios comerciales emplea estrategias de comunicación que orientan y acompañan al usuario en un viaje transformador. Con este libro, Ellen Lupton consigue descubrirnos estas dinámicas y el funcionamiento de la percepción visual desde un punto de vista narrativo. A partir de decenas de herramientas y conceptos explicados de una manera viva y visual, ayudará a cualquier profesional del diseño a comprender, jugar y amplificar el poder narrativo de su trabajo. Acto I. Acción > Descubre los patrones narrativos que sostienen las historias, como el arco narrativo o el viaje del héroe, y aprende a aplicarlos en la relación que los usuarios establecen con productos y servicios. Acto 2. Emoción > Comprende el vínculo del diseño con nuestros sentimientos y estados de ánimo. El viaje emocional de un usuario puede ir de la irritación al gozo y tú puedes acompañar ese viaje. Acto 3. Sensación > Conoce la importancia de la percepción y la cognición, procesos activos y transformadores clave. Explora los estímulos inspirados en los principios de la psicología Gestalt o el concepto de affordance. Secuelas > ¿Tu proyecto ilustra bien una acción? ¿Incluye una llamada a la acción? ¿Has desarrollado la empatía con los potenciales usuarios? ¿Animas al usuario a implicarse de una forma activa y creativa? ¡Te daremos herramientas para conseguirlo!",2019-03,http://books.google.com/books/content?id=e2QFwwEACAAJ&printsec=frontcover&img=1&zoom=1&source=gbs_api,['Juvenile Nonfiction'],,
